name,email,age,country,university,department,degree
 Monica  Lee,MonicaLee736@gmail.com,23, Spain,University of California - Santa Barbara, ECE,BR
 Sri  Greene,SriGreene7315@gmail.com,23, Greece,University of  Texas - Austin,CSE, MS
 Joe  Watson,JoeWatson5549@gmail.com,22, Spain,University of  California - San Diego, Maths,BR
 Binny  Chan,BinnyChan6392@gmail.com,26,India,University of  California - Santa Cruz,CSE, PhD
 Sri  Lee,SriLee9426@gmail.com,24, Mexico,University of  California - San Diego, Data Science, PhD
 Joe  Chen,JoeChen9346@gmail.com,20, USA,University of  California - San Diego, Data Science, MS
 Melissa  Greene,MelissaGreene4521@gmail.com,27, China,University of  California - San Diego, Data Science, MS
 Monica  Smith,MonicaSmith9134@gmail.com,25, UK,University of Michigan, Bioinformatics, MS
 Monica  Wang,MonicaWang6630@gmail.com,23, Mexico,University of  Texas - Austin,CSE,BR
 Oliver  Watson,OliverWatson1404@gmail.com,23, Mexico,University of  Pennsylvania,CSE, MS
 Sri  Wang,SriWang2004@gmail.com,21, Australia,University of  California - San Diego, ECE, MS
 Binny  Greene,BinnyGreene324@gmail.com,25, USA,University of  Pennsylvania,CSE, MS
 Monica  Wang,MonicaWang1501@gmail.com,26, Germany,University of California - Los Angeles, Maths, PhD
 Oliver  Greene,OliverGreene4654@gmail.com,24, Japan,University of  California - San Diego, Bioinformatics, MS
 Joe  Chan,JoeChan8259@gmail.com,24, China,University of  California - Santa Cruz, Bioinformatics,BR
 Stuart Shah,StuartShah6053@gmail.com,21, Mexico,University of  California - San Diego,CSE, PhD
 Monica  Wang,MonicaWang2992@gmail.com,22, USA,University of  California - San Diego, ECE,BR
 Monica  Lee,MonicaLee8476@gmail.com,28,India,University of California - Los Angeles, Maths, MS
 Sri  Greene,SriGreene9443@gmail.com,24,India,University of California - Santa Barbara, ECE,BR
 Binny  Greene,BinnyGreene2863@gmail.com,26, Australia,University of  California - Santa Cruz, CE, PhD
 Stuart  Wang,StuartWang624@gmail.com,21, Spain,University of  California - Santa Cruz, Data Science,BR
 Stuart Shah,StuartShah2264@gmail.com,22, China,University of California - Santa Barbara,CSE, PhD
 Oliver  Greene,OliverGreene6500@gmail.com,28, UK,University of  California - Santa Cruz, Bioinformatics, PhD
 Melissa  Lee,MelissaLee2379@gmail.com,26, Japan,University of California - Los Angeles, CE, PhD
 Stuart  Smith,StuartSmith3836@gmail.com,22, Spain,University of  Pennsylvania, Data Science, PhD
 Joe  Greene,JoeGreene130@gmail.com,21, USA,University of California - Los Angeles, Data Science, PhD
 Monica  Lee,MonicaLee3552@gmail.com,25,India,University of  California - San Diego,CSE, MS
 Sri  Watson,SriWatson2849@gmail.com,21, UK,University of California - Los Angeles, Maths, PhD
 Monica  Chan,MonicaChan2710@gmail.com,24, Mexico,University of California - Santa Barbara, CE, PhD
 Oliver  Watson,OliverWatson6761@gmail.com,25, France,University of  Washington, ECE, MS
 Binny  Chen,BinnyChen9929@gmail.com,26, Mexico,University of  California - San Diego, Bioinformatics, PhD
 Monica  Chan,MonicaChan2308@gmail.com,20, Germany,University of Michigan, Maths,BR
 Monica  Chen,MonicaChen9211@gmail.com,22, UK,University of Michigan, ECE, PhD
 Oliver  Greene,OliverGreene9331@gmail.com,26, Greece,University of Michigan, Maths,BR
 Monica  Lee,MonicaLee600@gmail.com,24, Mexico,University of Michigan, Maths,BR
 Stuart Shah,StuartShah3170@gmail.com,24, Australia,University of California - Los Angeles,CSE, MS
 Monica  Singh,MonicaSingh871@gmail.com,25, Spain,University of  Pennsylvania, ECE, PhD
 Binny  Watson,BinnyWatson2729@gmail.com,22, Italy,University of Michigan, Bioinformatics, MS
 Monica  Smith,MonicaSmith4505@gmail.com,20, China,University of California - Santa Barbara,CSE, MS
 Rachel  Wang,RachelWang6241@gmail.com,24, France,University of  Pennsylvania, CE, MS
 Joe  Singh,JoeSingh8186@gmail.com,25, Australia,University of  Texas - Austin, Maths, PhD
 Sri  Smith,SriSmith1854@gmail.com,25, Italy,University of  California - San Diego, Bioinformatics, MS
 Oliver  Smith,OliverSmith3634@gmail.com,23, France,University of  California - San Diego,CSE, PhD
 Rachel Shah,RachelShah9889@gmail.com,22, Australia,University of  California - Santa Cruz, Maths, PhD
 Joe  Smith,JoeSmith814@gmail.com,21, Mexico,University of  Washington, CE,BR
 Melissa  Wang,MelissaWang7599@gmail.com,27, USA,University of  Wisconsin - Madison, Maths,BR
 Rachel  Smith,RachelSmith9730@gmail.com,27, Spain,University of California - Santa Barbara, Bioinformatics, PhD
 Oliver  Chan,OliverChan168@gmail.com,27, UK,University of California - Los Angeles, Data Science, PhD
 Rachel  Watson,RachelWatson7508@gmail.com,25, Germany,University of California - Los Angeles, CE,BR
 Joe  Smith,JoeSmith1909@gmail.com,26, Italy,University of  Washington, Bioinformatics,BR
 Oliver  Chen,OliverChen1305@gmail.com,23, Italy,University of  California - Santa Cruz, Bioinformatics, MS
 Melissa Shah,MelissaShah166@gmail.com,20, Japan,University of California - Los Angeles, Bioinformatics, PhD
 Oliver  Chen,OliverChen5750@gmail.com,22, Italy,University of California - Los Angeles, CE, PhD
 Stuart  Chan,StuartChan6740@gmail.com,24,India,University of  Texas - Austin, ECE, MS
 Oliver  Lee,OliverLee6574@gmail.com,28, USA,University of  California - Santa Cruz, Maths, PhD
 Stuart  Greene,StuartGreene988@gmail.com,21,India,University of  Washington, ECE, MS
 Melissa  Watson,MelissaWatson511@gmail.com,26, Germany,University of  California - Santa Cruz, Maths,BR
 Melissa  Lee,MelissaLee2807@gmail.com,21, Greece,University of  California - Santa Cruz, Maths, MS
 Rachel Shah,RachelShah2830@gmail.com,20, Mexico,University of California - Los Angeles, Maths, MS
John  Wang,JohnWang88@gmail.com,28, China,University of Michigan,CSE, PhD
 Melissa  Lee,MelissaLee3991@gmail.com,22, Japan,University of  Wisconsin - Madison,CSE,BR
 Joe  Wang,JoeWang7114@gmail.com,27, Japan,University of  California - Santa Cruz, Data Science,BR
 Melissa  Watson,MelissaWatson156@gmail.com,27, China,University of  California - Santa Cruz, ECE, MS
 Stuart  Greene,StuartGreene2229@gmail.com,24, China,University of  California - Santa Cruz, ECE,BR
 Monica  Wang,MonicaWang8548@gmail.com,23, Spain,University of  Wisconsin - Madison, ECE, MS
 Stuart  Singh,StuartSingh4280@gmail.com,26, China,University of  Pennsylvania, CE, MS
John  Greene,JohnGreene9743@gmail.com,27, UK,University of  Texas - Austin, Bioinformatics, MS
 Oliver  Chen,OliverChen972@gmail.com,22,India,University of  California - San Diego, Data Science, MS
 Oliver  Smith,OliverSmith7194@gmail.com,21, China,University of  Pennsylvania,CSE,BR
 Rachel  Chen,RachelChen6161@gmail.com,21, Australia,University of Michigan, ECE, PhD
 Stuart  Smith,StuartSmith8997@gmail.com,22, Italy,University of  Texas - Austin, Data Science,BR
 Binny  Watson,BinnyWatson7177@gmail.com,22, Italy,University of  Texas - Austin, CE, PhD
 Joe  Lee,JoeLee3734@gmail.com,27,India,University of  Texas - Austin, Data Science, PhD
 Rachel  Singh,RachelSingh1128@gmail.com,26, France,University of  California - San Diego, Bioinformatics, PhD
 Stuart  Watson,StuartWatson7466@gmail.com,23, Germany,University of  California - San Diego, Maths, PhD
 Binny  Chan,BinnyChan3192@gmail.com,24, Spain,University of  Wisconsin - Madison,CSE, MS
 Sri  Watson,SriWatson3455@gmail.com,23, Spain,University of  Wisconsin - Madison, CE, PhD
 Sri  Lee,SriLee898@gmail.com,20,India,University of  Texas - Austin, ECE,BR
 Melissa  Chan,MelissaChan9456@gmail.com,21, Japan,University of  Wisconsin - Madison, CE,BR
 Joe  Chan,JoeChan2698@gmail.com,24, Germany,University of California - Santa Barbara, CE, MS
 Oliver  Greene,OliverGreene4438@gmail.com,26, France,University of Michigan, ECE, PhD
 Binny  Lee,BinnyLee5037@gmail.com,23, Germany,University of  California - Santa Cruz, Maths,BR
 Oliver  Chen,OliverChen9984@gmail.com,24, Australia,University of California - Santa Barbara, Data Science,BR
 Sri Shah,SriShah2214@gmail.com,22, France,University of  Washington, ECE, MS
 Sri  Smith,SriSmith5494@gmail.com,22, USA,University of Michigan, Maths, MS
 Rachel Shah,RachelShah6586@gmail.com,25, Italy,University of  California - Santa Cruz, ECE,BR
 Rachel  Wang,RachelWang5334@gmail.com,24, Greece,University of  Texas - Austin, CE,BR
 Sri  Lee,SriLee8733@gmail.com,27, Italy,University of  California - San Diego,CSE, MS
 Oliver  Lee,OliverLee4445@gmail.com,21, Australia,University of California - Santa Barbara, CE,BR
 Melissa  Lee,MelissaLee2886@gmail.com,28, Germany,University of  California - Santa Cruz, CE, MS
 Oliver  Lee,OliverLee9896@gmail.com,25, Japan,University of  Texas - Austin,CSE, PhD
 Oliver  Watson,OliverWatson1229@gmail.com,24, Italy,University of  Washington, Bioinformatics, PhD
 Monica Shah,MonicaShah3457@gmail.com,24, China,University of  California - San Diego, Bioinformatics, PhD
 Monica  Lee,MonicaLee1042@gmail.com,22, UK,University of  California - San Diego, ECE,BR
John  Watson,JohnWatson8361@gmail.com,27, Australia,University of  Washington, CE,BR
 Monica  Watson,MonicaWatson8795@gmail.com,27, Spain,University of  California - San Diego, Maths, MS
 Stuart  Chen,StuartChen1771@gmail.com,25, USA,University of  California - Santa Cruz, Maths, PhD
 Sri  Wang,SriWang6383@gmail.com,26, France,University of  California - Santa Cruz, Data Science, MS
 Binny  Singh,BinnySingh4171@gmail.com,22,India,University of  Washington, ECE, PhD
 Oliver  Smith,OliverSmith8551@gmail.com,24, Germany,University of  California - Santa Cruz,CSE, MS
 Melissa  Smith,MelissaSmith7526@gmail.com,28, Australia,University of Michigan,CSE, PhD
 Joe  Chan,JoeChan1435@gmail.com,26, Spain,University of  Texas - Austin, ECE, MS
 Rachel  Watson,RachelWatson3019@gmail.com,26, Australia,University of  California - Santa Cruz,CSE,BR
 Oliver  Chan,OliverChan5444@gmail.com,21, Greece,University of  Texas - Austin, ECE,BR
 Binny  Smith,BinnySmith2883@gmail.com,22, Italy,University of California - Santa Barbara, ECE, MS
 Joe  Chan,JoeChan3872@gmail.com,20, Greece,University of  California - Santa Cruz, Data Science, MS
 Melissa  Chen,MelissaChen3890@gmail.com,24, Italy,University of  Wisconsin - Madison, Maths, PhD
 Oliver Shah,OliverShah3741@gmail.com,24,India,University of California - Los Angeles,CSE, MS
 Stuart  Lee,StuartLee8883@gmail.com,26, UK,University of California - Los Angeles, ECE, MS
 Sri  Chen,SriChen412@gmail.com,28, USA,University of  California - Santa Cruz, Data Science,BR
 Stuart  Singh,StuartSingh2171@gmail.com,27,India,University of  Wisconsin - Madison, CE, PhD
 Stuart  Smith,StuartSmith5307@gmail.com,23,India,University of California - Los Angeles, Data Science,BR
 Melissa Shah,MelissaShah8529@gmail.com,22, Italy,University of California - Los Angeles, ECE,BR
 Stuart  Smith,StuartSmith4239@gmail.com,28, China,University of  Texas - Austin, Data Science, MS
 Joe Shah,JoeShah7713@gmail.com,23, France,University of  Pennsylvania, CE, MS
 Rachel  Smith,RachelSmith8298@gmail.com,23, Germany,University of  Pennsylvania,CSE,BR
 Melissa  Greene,MelissaGreene471@gmail.com,28, Germany,University of  Wisconsin - Madison, Data Science, PhD
John Shah,JohnShah1460@gmail.com,23, Japan,University of Michigan, Data Science, MS
 Binny  Greene,BinnyGreene1951@gmail.com,20, UK,University of  Texas - Austin,CSE, PhD
 Rachel  Wang,RachelWang8954@gmail.com,28, Germany,University of Michigan,CSE, PhD
 Monica  Wang,MonicaWang2076@gmail.com,21, UK,University of  Wisconsin - Madison, CE,BR
 Melissa  Chen,MelissaChen3447@gmail.com,26, Mexico,University of  California - Santa Cruz, CE, PhD
 Rachel  Greene,RachelGreene2647@gmail.com,28, Japan,University of California - Los Angeles, Maths, MS
 Sri  Wang,SriWang5686@gmail.com,21, Greece,University of California - Los Angeles,CSE, MS
 Sri  Greene,SriGreene3240@gmail.com,25, Australia,University of California - Los Angeles, CE, MS
 Melissa Shah,MelissaShah2349@gmail.com,23,India,University of  Pennsylvania, ECE,BR
John  Wang,JohnWang7785@gmail.com,24, USA,University of  California - Santa Cruz, CE, MS
 Binny  Wang,BinnyWang4646@gmail.com,27, Italy,University of  California - San Diego,CSE, MS
 Stuart  Singh,StuartSingh4043@gmail.com,24, USA,University of  Washington, Bioinformatics, MS
 Binny  Singh,BinnySingh9958@gmail.com,20, Australia,University of  California - Santa Cruz,CSE, PhD
 Monica  Chan,MonicaChan5826@gmail.com,20, China,University of  California - Santa Cruz, ECE, PhD
 Melissa  Singh,MelissaSingh495@gmail.com,24,India,University of California - Santa Barbara, ECE, PhD
 Sri  Chen,SriChen1609@gmail.com,26, Mexico,University of  Pennsylvania,CSE,BR
 Joe  Wang,JoeWang4360@gmail.com,21, Mexico,University of  California - Santa Cruz, Bioinformatics,BR
 Monica  Chan,MonicaChan6344@gmail.com,21, Italy,University of  Wisconsin - Madison, Maths,BR
 Monica  Wang,MonicaWang6843@gmail.com,25, Spain,University of  Texas - Austin,CSE, PhD
 Monica  Chen,MonicaChen7130@gmail.com,24, Japan,University of California - Los Angeles, Bioinformatics, MS
John  Greene,JohnGreene6070@gmail.com,21, Germany,University of California - Santa Barbara, Data Science, MS
 Joe  Smith,JoeSmith5761@gmail.com,20, Italy,University of California - Santa Barbara, Data Science, PhD
 Oliver  Lee,OliverLee5936@gmail.com,24, Mexico,University of  California - Santa Cruz, ECE, PhD
 Stuart  Greene,StuartGreene3009@gmail.com,21, Germany,University of  Washington, Data Science, PhD
John Shah,JohnShah9434@gmail.com,26, USA,University of Michigan,CSE,BR
John Shah,JohnShah2670@gmail.com,24, Australia,University of California - Los Angeles, ECE, MS
 Joe  Smith,JoeSmith2723@gmail.com,21, Italy,University of  Washington, Bioinformatics,BR
 Melissa  Watson,MelissaWatson1860@gmail.com,22,India,University of  California - Santa Cruz, Data Science,BR
 Rachel  Watson,RachelWatson5846@gmail.com,27, Spain,University of  Pennsylvania, ECE, PhD
 Joe  Chen,JoeChen1342@gmail.com,20, UK,University of  Wisconsin - Madison,CSE, PhD
 Binny  Chen,BinnyChen2983@gmail.com,26, UK,University of Michigan, Maths, MS
 Joe  Singh,JoeSingh8875@gmail.com,28, Spain,University of  California - Santa Cruz, Bioinformatics, PhD
 Oliver  Singh,OliverSingh1166@gmail.com,23, China,University of California - Los Angeles,CSE, PhD
 Sri  Chan,SriChan8436@gmail.com,28, Spain,University of  California - Santa Cruz, CE,BR
 Rachel  Greene,RachelGreene8091@gmail.com,28, Mexico,University of California - Santa Barbara, Data Science,BR
John  Singh,JohnSingh6273@gmail.com,24, China,University of California - Los Angeles, Maths,BR
 Sri  Chan,SriChan4557@gmail.com,26, Australia,University of  Pennsylvania,CSE, PhD
 Melissa  Lee,MelissaLee5502@gmail.com,23, Italy,University of  California - San Diego, Maths, PhD
 Binny  Chen,BinnyChen1830@gmail.com,27, Greece,University of  Wisconsin - Madison, Bioinformatics, MS
 Oliver  Lee,OliverLee9991@gmail.com,23, USA,University of  Pennsylvania, Bioinformatics,BR
 Binny  Lee,BinnyLee6723@gmail.com,24, Greece,University of  Texas - Austin, CE, PhD
 Sri  Smith,SriSmith8312@gmail.com,27, Japan,University of  Washington, Maths, PhD
 Joe  Chen,JoeChen9018@gmail.com,28, UK,University of Michigan, ECE, PhD
 Joe Shah,JoeShah1769@gmail.com,26, USA,University of California - Santa Barbara, CE,BR
 Rachel  Wang,RachelWang1973@gmail.com,20, Greece,University of  California - San Diego,CSE, MS
 Oliver  Chen,OliverChen8965@gmail.com,28,India,University of  California - San Diego, Data Science, PhD
John  Chan,JohnChan6399@gmail.com,27, France,University of  Pennsylvania, Maths, MS
 Joe  Singh,JoeSingh9645@gmail.com,25,India,University of  Washington, Data Science, PhD
 Monica  Greene,MonicaGreene3254@gmail.com,27, UK,University of  California - San Diego, Maths,BR
 Monica  Greene,MonicaGreene7987@gmail.com,21,India,University of  Pennsylvania, ECE, PhD
 Sri  Chan,SriChan6185@gmail.com,24, Japan,University of California - Los Angeles,CSE, PhD
 Rachel  Lee,RachelLee2091@gmail.com,25, China,University of California - Los Angeles, Bioinformatics, MS
 Stuart  Chen,StuartChen2898@gmail.com,23, UK,University of  Pennsylvania,CSE, PhD
 Joe  Chen,JoeChen3461@gmail.com,26, Spain,University of  Texas - Austin, ECE, MS
 Binny  Lee,BinnyLee35@gmail.com,27, France,University of California - Los Angeles, Data Science,BR
John  Lee,JohnLee6370@gmail.com,23, Spain,University of  California - San Diego, CE, MS
 Stuart  Greene,StuartGreene4050@gmail.com,23, Mexico,University of  Pennsylvania, ECE, MS
 Sri Shah,SriShah2829@gmail.com,24, Australia,University of California - Santa Barbara, ECE, MS
 Oliver  Wang,OliverWang8779@gmail.com,24, Greece,University of  California - Santa Cruz, Bioinformatics, MS
 Melissa  Watson,MelissaWatson9841@gmail.com,25,India,University of Michigan, Data Science, MS
 Rachel Shah,RachelShah9159@gmail.com,26, China,University of  California - Santa Cruz, ECE, PhD
 Monica  Wang,MonicaWang7415@gmail.com,24, USA,University of California - Los Angeles, Maths,BR
 Sri  Chan,SriChan8470@gmail.com,27, China,University of  Washington, Bioinformatics,BR
 Stuart  Watson,StuartWatson7115@gmail.com,21, USA,University of Michigan,CSE, PhD
 Oliver  Lee,OliverLee7092@gmail.com,28, Greece,University of  California - Santa Cruz,CSE, PhD
 Monica Shah,MonicaShah6953@gmail.com,23, Australia,University of  California - San Diego, ECE,BR
 Stuart  Greene,StuartGreene4720@gmail.com,27, Italy,University of  Wisconsin - Madison, Maths, MS
 Melissa  Watson,MelissaWatson6373@gmail.com,25, Italy,University of California - Los Angeles, CE,BR
 Sri  Watson,SriWatson6026@gmail.com,20, Spain,University of  Texas - Austin, Maths, PhD
 Sri  Watson,SriWatson4165@gmail.com,28, Spain,University of  Texas - Austin, Data Science, MS
 Joe  Greene,JoeGreene9188@gmail.com,27, Italy,University of Michigan, Data Science, MS
 Oliver  Smith,OliverSmith8948@gmail.com,20, Spain,University of  Texas - Austin,CSE,BR
John  Smith,JohnSmith2880@gmail.com,25,India,University of  Texas - Austin, ECE, PhD
 Sri  Chan,SriChan1881@gmail.com,21, UK,University of Michigan, Maths,BR
 Melissa  Lee,MelissaLee9386@gmail.com,20, UK,University of  California - Santa Cruz,CSE,BR
 Binny  Wang,BinnyWang5358@gmail.com,28, Japan,University of  Texas - Austin,CSE,BR
 Monica  Greene,MonicaGreene6821@gmail.com,27, Italy,University of  Pennsylvania, Data Science, MS
 Melissa  Chen,MelissaChen6946@gmail.com,21, China,University of  Pennsylvania,CSE, PhD
 Stuart  Singh,StuartSingh8349@gmail.com,26, USA,University of  Wisconsin - Madison, Bioinformatics, PhD
 Joe  Chan,JoeChan5478@gmail.com,20, Greece,University of  California - Santa Cruz,CSE, PhD
 Stuart Shah,StuartShah9448@gmail.com,23, Spain,University of California - Los Angeles, CE, PhD
 Binny  Chan,BinnyChan9927@gmail.com,25, Mexico,University of  Washington, CE,BR
 Oliver  Lee,OliverLee8683@gmail.com,21, Germany,University of California - Santa Barbara, Bioinformatics, MS
 Oliver  Singh,OliverSingh8760@gmail.com,24, Italy,University of Michigan, Bioinformatics, MS
 Binny Shah,BinnyShah1950@gmail.com,27, China,University of  California - Santa Cruz,CSE, MS
 Rachel  Singh,RachelSingh2521@gmail.com,22, USA,University of  Texas - Austin,CSE,BR
 Rachel Shah,RachelShah3342@gmail.com,24, Greece,University of  Washington,CSE,BR
 Joe  Chen,JoeChen5256@gmail.com,20, Italy,University of Michigan, Maths, PhD
 Stuart  Watson,StuartWatson4464@gmail.com,23, USA,University of  Pennsylvania,CSE,BR
 Joe  Smith,JoeSmith3849@gmail.com,28,India,University of California - Santa Barbara, Bioinformatics, PhD
 Oliver Shah,OliverShah3963@gmail.com,23, France,University of  California - Santa Cruz,CSE, PhD
